protein,freq,pdbid,study,study_type,study_name
TP53,55,1A1U,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
SMAD4,22,1DD1,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
TTN,22,1BPV,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
ZNF814,20,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
MUC16,20,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
MUC2,18,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
FLG,16,4PCW,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
MUC5B,11,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
RP11-407N17.3,11,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
TUBBP5,11,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
PCMTD1,10,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
TMPRSS13,10,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
NBPF9,10,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
MST1L,9,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
OBSCN,9,1V1C,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
C10orf113,8,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
RBMXL3,8,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
NF1,8,1NF1,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
HERC2,8,2KEO,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
ZAN,8,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
ATXN1,8,1OA8,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
COL18A1,8,1BNL,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
MAGEC1,8,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
KRT4,8,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
PRB4,8,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
CDK2AP2P2,8,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
ARID1A,8,1RYU,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
COL14A1,7,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
FAT3,7,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
MUC4,7,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
CDKN2A,7,1A5E,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
MUC17,7,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
DGKB,7,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
KMT2C,7,2YSM,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
SLC35G6,7,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
LOXHD1,7,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
AHNAK2,7,4CN0,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
FRG1B,7,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
CSMD1,7,2EHF,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
NLRP1,7,1PN5,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
FOLH1,7,1Z8L,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
PRAMEF4,7,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
DNAH14,6,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
FCGBP,6,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
DNAH7,6,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
DNAH3,6,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
RGPD3,6,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
KRTAP10-7,6,,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
HDGFRP2,6,3EAE,paad_utsw_2015,pancreatic,"Pancreatic Cancer (UTSW, Nat Commun 2015)"
TTN,1034,1BPV,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
MUC16,643,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
DNAH5,408,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
LRP1B,304,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
MGAM,296,2QLY,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
CSMD1,250,2EHF,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
CSMD2,242,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
ANK3,207,4O6X,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
PCLO,207,1UJD,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
PTPRT,204,2OOQ,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
DNAH7,199,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
PKHD1L1,199,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
HYDIN,197,2E6J,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
TPTE,195,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
PREX2,188,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
DNAH8,188,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
BAGE2,180,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
DMBT1,175,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
STAB2,174,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
GPR98,173,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
SPTA1,172,1OWA,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
MROH2B,171,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
CSMD3,167,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
USH2A,166,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
DNAH9,166,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
RYR1,164,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
NEB,164,1ARK,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
SCN10A,161,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
SYNE1,159,4DXR,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
CACNA1E,155,3BXL,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
DOCK3,151,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
CACNA2D3,149,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
OBSCN,145,1V1C,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
PCSK5,142,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
DCC,139,2ED7,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
PCDH15,138,4XHZ,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
APOB,136,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
COL5A1,136,1A89,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
MYH2,135,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
DNAH3,132,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
UNC79,132,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
THSD7B,131,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
ANKRD30A,130,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
RP11-492D6.3,128,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
PAPPA2,126,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
MYH1,126,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
CNTNAP2,125,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
PDE4DIP,123,,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
RYR2,122,4JKQ,skcm_broad,skin,"Skin Cutaneous Melanoma (Broad, Cell 2012)"
DNAH5,97,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
TTN,67,1BPV,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
LRP1B,64,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
DNAH8,49,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
BRAF,45,1UWH,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
ANK3,42,4O6X,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
COL4A5,39,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
DNAH9,39,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
CSMD2,38,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
DCC,37,2ED7,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
CSMD3,37,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
SCN10A,36,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
SCN11A,36,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
COL3A1,35,2V53,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
USH2A,34,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
RELN,33,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
PTPRD,32,1X5Z,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
SI,30,3LPO,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
COL5A1,30,1A89,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
LRP2,29,2M0P,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
PREX2,29,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
RP1,29,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
COL11A1,29,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
COL22A1,29,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
DNAH3,28,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
SPHKAP,27,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
ADAMTS20,27,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
MUC17,27,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
XDH,26,2CKJ,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
COL14A1,26,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
STAB2,26,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
APOB,26,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
MYH4,26,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
UNC79,25,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
TNR,24,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
CD163L1,24,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
FAT4,23,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
PCDH15,23,4XHZ,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
CD163,23,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
GRIN2B,23,1S11,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
MYH1,23,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
DSG4,23,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
VWF,22,1AO3,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
C6,22,3T5O,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
C1orf173,22,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
LOXHD1,21,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
ABCA4,21,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
RYR1,21,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
ADAM7,21,,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
FLG,21,4PCW,skcm_yale,skin,"Skin Cutaneous Melanoma (Yale, Nat Genet 2012)"
TTN,852,1BPV,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
MUC16,301,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
OBSCN,206,1V1C,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
TP53,204,1A1U,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
SYNE1,202,4DXR,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
LRP1B,181,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
FAT4,180,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
FLG,170,4PCW,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
CSMD3,168,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
PCLO,151,1UJD,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
AHNAK2,138,4CN0,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
HMCN1,137,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
FAT3,135,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
RYR2,134,4JKQ,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
ARID1A,133,1RYU,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
DNAH5,125,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
CSMD1,125,2EHF,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
DST,123,3GJO,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
ZFHX4,122,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
KMT2D,120,3UVK,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
MUC5B,119,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
HERC2,119,2KEO,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
PLEC,117,1MB8,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
RYR3,112,4ERV,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
SPTA1,110,1OWA,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
USH2A,106,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
NEB,105,1ARK,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
RIMS2,103,1V27,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
SACS,101,1IUR,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
LAMA1,99,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
ZFHX3,99,2DA1,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
MDN1,99,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
DNAH8,99,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
RYR1,98,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
HSPG2,97,3SH4,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
DNAH11,96,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
DNAH7,96,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
KMT2C,96,2YSM,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
XIRP2,96,4F14,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
PREX2,92,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
PCDH10,91,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
SYNE2,91,4DXS,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
GLI3,90,4BLD,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
ABCA13,90,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
DMD,90,1DXX,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
PCDH15,89,4XHZ,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
CUBN,87,3KQ4,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
LRP1,87,1CR8,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
RNF213,87,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
DNAH3,86,,stad_tcga,stomach,"Stomach Adenocarcinoma (TCGA, Provisional)"
